name,price,image
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - 1.5 Kg.,17.71 €/u,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - 5 Kg ,45.01 €/u,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine i/d Mini Stress - Pack 2 x 5 Kg,86.32 €,https://www.petsonic.com/17277-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-d-mini-stress.jpg
 Pienso Hills Prescription Diet PD Canine t/d. - 3 Kg.,25.02 €/u,https://www.petsonic.com/9272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-t-d.jpg
 Pienso Hills Prescription Diet PD Canine t/d. - Pack 2 x 3 Kg,46.33 €,https://www.petsonic.com/9272-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-t-d.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - 4 Kg.,38.61 €/u,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - 12 Kg,69.54 €/u,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
 Pienso Hills Prescription Diet PD Canine j/d Reduced Calorie - Pack 2 x 12 Kg,135.38 €,https://www.petsonic.com/17387-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-j-d-reduced-calorie.jpg
" Pienso Hills Prescription Diet PD Canine Metabolic. - 1,5 Kg.",17.35 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - 4 Kg.,38.61 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - 12 Kg,71.18 €/u,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
 Pienso Hills Prescription Diet PD Canine Metabolic. - Pack 2 x 12 Kg,138.64 €,https://www.petsonic.com/17352-thickbox_default/pienso-para-perros-hill-s-prescription-diet-pd-canine-metabolic.jpg
